date,price,upanddown,up_down
2005-04-01,3.25,-0.31,0
2005-04-02,3.25,-0.31,0
2005-04-03,3.25,-0.31,0
2005-04-04,3.24,-0.31,하락
2005-04-05,3.24,-0.31,하락
2005-04-06,3.23,-0.31,하락
2005-04-07,3.23,0.00,하락
2005-04-08,3.26,+ 0.93,상승
2005-04-09,3.26,+ 0.93,상승
2005-04-10,3.26,+ 0.93,상승
2005-04-11,3.25,-0.31,0
2005-04-12,3.24,-0.31,하락
2005-04-13,3.25,+ 0.31,0
2005-04-14,3.25,0.00,0
2005-04-15,3.26,+ 0.31,상승
2005-04-16,3.26,+ 0.31,상승
2005-04-17,3.26,+ 0.31,상승
2005-04-18,3.25,-0.31,0
2005-04-19,3.26,+ 0.31,상승
2005-04-20,3.26,0.00,상승
2005-04-21,3.23,-0.92,하락
2005-04-22,3.24,+ 0.31,하락
2005-04-23,3.24,+ 0.31,하락
2005-04-24,3.24,+ 0.31,하락
2005-04-25,3.26,+ 0.62,상승
2005-04-26,3.26,0.00,상승
2005-04-27,3.27,+ 0.31,상승
2005-04-28,3.27,0.00,상승
2005-04-29,3.29,+ 0.61,상승
2005-04-30,3.29,+ 0.61,상승
2005-05-01,3.29,+ 0.61,상승
2005-05-02,3.29,0.00,상승
2005-05-03,3.30,+ 0.30,상승
2005-05-04,3.21,-2.73,하락
2005-05-05,3.21,-2.73,하락
2005-05-06,3.27,+ 1.87,상승
2005-05-07,3.27,+ 1.87,상승
2005-05-08,3.27,+ 1.87,상승
2005-05-09,3.29,+ 0.61,상승
2005-05-10,3.30,+ 0.30,상승
2005-05-11,3.30,0.00,상승
2005-05-12,3.30,0.00,상승
2005-05-13,3.29,-0.30,상승
2005-05-14,3.29,-0.30,상승
2005-05-15,3.29,-0.30,상승
2005-05-16,3.29,0.00,상승
2005-05-17,3.29,0.00,상승
2005-05-18,3.29,0.00,상승
2005-05-19,3.19,-3.04,하락
2005-05-20,3.23,+ 1.25,하락
2005-05-21,3.23,+ 1.25,0
2005-05-22,3.23,+ 1.25,하락
2005-05-23,3.29,+ 1.86,상승
2005-05-24,3.29,0.00,상승
2005-05-25,3.29,0.00,상승
2005-05-26,3.29,0.00,상승
2005-05-27,3.29,0.00,상승
2005-05-28,3.29,0.00,상승
2005-05-29,3.29,0.00,0
2005-05-30,3.29,0.00,0
2005-05-31,3.29,0.00,0
2005-06-01,3.28,-0.30,하락
2005-06-02,3.28,0.00,하락
