,date,price
0,2020-07-23,0.46
1,2020-07-22,0.45
2,2020-07-21,0.46
3,2020-07-20,0.44
4,2020-07-17,0.46
5,2020-07-16,0.49
6,2020-07-15,0.47
7,2020-07-14,0.48
8,2020-07-13,0.50
9,2020-07-10,0.49
10,2020-07-09,0.48
11,2020-07-08,0.48
12,2020-07-07,0.45
13,2020-07-06,0.49
14,2020-07-03,0.50
15,2020-07-02,0.47
16,2020-07-01,0.48
17,2020-06-30,0.57
18,2020-06-29,0.49
19,2020-06-26,0.50
20,2020-06-25,0.47
21,2020-06-24,0.48
22,2020-06-23,0.47
23,2020-06-22,0.47
24,2020-06-19,0.46
25,2020-06-18,0.46
26,2020-06-17,0.47
27,2020-06-16,0.46
28,2020-06-15,0.46
29,2020-06-12,0.46
30,2020-06-11,0.49
31,2020-06-10,0.49
32,2020-06-09,0.50
33,2020-06-08,0.46
34,2020-06-05,0.47
35,2020-06-04,0.46
36,2020-06-03,0.47
37,2020-06-02,0.47
38,2020-06-01,0.49
39,2020-05-29,0.49
40,2020-05-28,0.49
41,2020-05-27,0.74
42,2020-05-26,0.72
43,2020-05-25,0.72
44,2020-05-22,0.72
45,2020-05-21,0.73
46,2020-05-20,0.72
47,2020-05-19,0.73
48,2020-05-18,0.71
49,2020-05-15,0.71
50,2020-05-14,0.72
51,2020-05-13,0.72
52,2020-05-12,0.73
53,2020-05-11,0.73
54,2020-05-08,0.72
55,2020-05-07,0.71
56,2020-05-06,0.72
57,2020-04-29,0.76
58,2020-04-28,0.73
59,2020-04-27,0.73
60,2020-04-24,0.74
61,2020-04-23,0.74
62,2020-04-22,0.74
63,2020-04-21,0.75
64,2020-04-20,0.75
65,2020-04-17,0.74
66,2020-04-16,0.73
67,2020-04-14,0.74
68,2020-04-13,0.75
69,2020-04-10,0.73
70,2020-04-09,0.73
71,2020-04-08,0.73
72,2020-04-07,0.74
73,2020-04-06,0.75
74,2020-04-03,0.73
75,2020-04-02,0.74
76,2020-04-01,0.76
77,2020-03-31,0.80
78,2020-03-30,0.76
79,2020-03-27,0.75
80,2020-03-26,0.73
81,2020-03-25,0.73
82,2020-03-24,0.72
83,2020-03-23,0.73
84,2020-03-20,0.73
85,2020-03-19,0.72
86,2020-03-18,0.73
87,2020-03-17,0.76
88,2020-03-16,1.27
89,2020-03-13,1.25
90,2020-03-12,1.25
91,2020-03-11,1.24
92,2020-03-10,1.25
93,2020-03-09,1.26
94,2020-03-06,1.24
95,2020-03-05,1.25
96,2020-03-04,1.25
97,2020-03-03,1.26
98,2020-03-02,1.26
99,2020-02-28,1.26
100,2020-02-27,1.23
101,2020-02-26,1.25
102,2020-02-25,1.25
103,2020-02-24,1.24
104,2020-02-21,1.23
105,2020-02-20,1.23
106,2020-02-19,1.24
107,2020-02-18,1.23
108,2020-02-17,1.24
109,2020-02-14,1.24
110,2020-02-13,1.26
111,2020-02-12,1.26
112,2020-02-11,1.26
113,2020-02-10,1.24
114,2020-02-07,1.22
115,2020-02-06,1.23
116,2020-02-05,1.23
