,date,price,upanddown,check
0,2004-08-20,3.46,-1.42,
1,2004-08-21,3.46,-1.42,
2,2004-08-22,3.46,-1.42,
3,2004-08-23,3.52,+ 1.73,
4,2004-08-24,3.52,0.00,
5,2004-08-25,3.52,0.00,
6,2004-08-26,3.52,0.00,
7,2004-08-27,3.51,-0.28,
8,2004-08-28,3.51,-0.28,
9,2004-08-29,3.51,-0.28,
10,2004-08-30,3.51,0.00,
11,2004-08-31,3.52,+ 0.28,
12,2004-09-01,3.53,+ 0.28,
13,2004-09-02,3.52,-0.28,
14,2004-09-03,3.52,0.00,
15,2004-09-04,3.52,0.00,
16,2004-09-05,3.52,0.00,
17,2004-09-06,3.49,-0.85,
18,2004-09-07,3.45,-1.15,
19,2004-09-08,3.53,+ 2.32,
20,2004-09-09,3.53,0.00,
21,2004-09-10,3.53,0.00,
22,2004-09-11,3.53,0.00,
23,2004-09-12,3.53,0.00,
24,2004-09-13,3.52,-0.28,
25,2004-09-14,3.52,0.00,
26,2004-09-15,3.53,+ 0.28,
27,2004-09-16,3.52,-0.28,
28,2004-09-17,3.52,0.00,
29,2004-09-18,3.52,0.00,
30,2004-09-19,3.52,0.00,
31,2004-09-20,3.53,+ 0.28,
32,2004-09-21,3.44,-2.55,
33,2004-09-22,3.43,-0.29,
34,2004-09-23,3.55,+ 3.50,
35,2004-09-24,3.54,-0.28,
36,2004-09-25,3.54,-0.28,
37,2004-09-26,3.54,-0.28,
38,2004-09-27,3.54,-0.28,
39,2004-09-28,3.54,-0.28,
40,2004-09-29,3.54,-0.28,
41,2004-09-30,3.55,+ 0.28,
42,2004-10-01,3.53,-0.56,
43,2004-10-02,3.53,-0.56,
44,2004-10-03,3.53,-0.56,
45,2004-10-04,3.52,-0.28,
46,2004-10-05,3.53,+ 0.28,
47,2004-10-06,3.45,-2.27,
48,2004-10-07,3.47,+ 0.58,
49,2004-10-08,3.53,+ 1.73,
50,2004-10-09,3.53,+ 1.73,
51,2004-10-10,3.53,+ 1.73,
52,2004-10-11,3.53,0.00,
53,2004-10-12,3.52,-0.28,
54,2004-10-13,3.52,0.00,
55,2004-10-14,3.51,-0.28,
56,2004-10-15,3.52,+ 0.28,
57,2004-10-16,3.52,+ 0.28,
58,2004-10-17,3.52,+ 0.28,
59,2004-10-18,3.51,-0.28,
60,2004-10-19,3.52,+ 0.28,
61,2004-10-20,3.52,0.00,
62,2004-10-21,3.48,-1.14,
63,2004-10-22,3.45,-0.86,
64,2004-10-23,3.45,-0.86,
65,2004-10-24,3.45,-0.86,
66,2004-10-25,3.54,+ 2.61,
67,2004-10-26,3.52,-0.56,
68,2004-10-27,3.53,+ 0.28,
69,2004-10-28,3.54,+ 0.28,
70,2004-10-29,3.53,-0.28,
71,2004-10-30,3.53,-0.28,
72,2004-10-31,3.53,-0.28,
73,2004-11-01,3.53,0.00,
74,2004-11-02,3.53,0.00,
75,2004-11-03,3.53,0.00,
76,2004-11-04,3.53,0.00,
77,2004-11-05,3.52,-0.28,
78,2004-11-06,3.52,-0.28,
79,2004-11-07,3.52,-0.28,
80,2004-11-08,3.52,0.00,
81,2004-11-09,3.53,+ 0.28,
82,2004-11-10,3.53,0.00,
83,2004-11-11,3.28,-7.08,
84,2004-11-12,3.28,0.00,
85,2004-11-13,3.28,0.00,
86,2004-11-14,3.28,0.00,
87,2004-11-15,3.26,-0.61,
88,2004-11-16,3.26,0.00,
89,2004-11-17,3.27,+ 0.31,
90,2004-11-18,3.27,0.00,
91,2004-11-19,3.23,-1.22,
92,2004-11-20,3.23,-1.22,
93,2004-11-21,3.23,-1.22,
94,2004-11-22,3.22,-0.31,
95,2004-11-23,3.26,+ 1.24,
96,2004-11-24,3.26,0.00,
97,2004-11-25,3.26,0.00,
98,2004-11-26,3.25,-0.31,
99,2004-11-27,3.25,-0.31,
100,2004-11-28,3.25,-0.31,
101,2004-11-29,3.25,0.00,
102,2004-11-30,3.26,+ 0.31,
103,2004-12-01,3.26,0.00,
104,2004-12-02,3.26,0.00,
105,2004-12-03,3.26,0.00,
106,2004-12-04,3.26,0.00,
107,2004-12-05,3.26,0.00,
108,2004-12-06,3.23,-0.92,
109,2004-12-07,3.19,-1.24,
110,2004-12-08,3.27,+ 2.51,
111,2004-12-09,3.27,0.00,
112,2004-12-10,3.28,+ 0.31,
113,2004-12-11,3.28,+ 0.31,
114,2004-12-12,3.28,+ 0.31,
115,2004-12-13,3.28,0.00,
116,2004-12-14,3.28,0.00,
117,2004-12-15,3.28,0.00,
118,2004-12-16,3.28,0.00,
119,2004-12-17,3.28,0.00,
120,2004-12-18,3.28,0.00,
121,2004-12-19,3.28,0.00,
122,2004-12-20,3.29,+ 0.30,
123,2004-12-21,3.20,-2.74,
124,2004-12-22,3.19,-0.31,
125,2004-12-23,3.28,+ 2.82,
126,2004-12-24,3.29,+ 0.30,
